site,plastic,rep,type,abundance,abundance_cor,log_abundance,type2
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_1",coliform,149.62,150.62,2.177882643265325,(b)~coliform
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_1",ecoli,4.75,5.75,0.7596678446896304,"(c)~italic(""E.coli"")"
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_2",culturable,712.46,713.46,2.853369629495179,(a)~LB~medium
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_2",coliform,45.12,46.12,1.6638892986226614,(b)~coliform
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_2",ecoli,7.12,8.120000000000001,0.9095560292411754,"(c)~italic(""E.coli"")"
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_3",culturable,284.98,285.98,2.456335661823607,(a)~LB~medium
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_3",coliform,49.87,50.87,1.7064617376313547,(b)~coliform
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_3",ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_4",culturable,379.98,380.98,2.5809021774666374,(a)~LB~medium
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_4",coliform,410.85,411.85,2.614739070319703,(b)~coliform
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_4",ecoli,14.25,15.25,1.1832698436828046,"(c)~italic(""E.coli"")"
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_5",culturable,1258.68,1259.68,3.1002602340979446,(a)~LB~medium
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_5",coliform,76,77,1.8864907251724818,(b)~coliform
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_5",ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_6",culturable,759.96,760.96,2.8813618286025786,(a)~LB~medium
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_6",coliform,151.99,152.99,2.1846630446296804,(b)~coliform
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_6",ecoli,11.87,12.87,1.1095785469043866,"(c)~italic(""E.coli"")"
"mylor
bank",PET,"mylor
bank_PET_1",culturable,49.87,50.87,1.7064617376313547,(a)~LB~medium
"mylor
bank",PET,"mylor
bank_PET_1",coliform,0,1,0,(b)~coliform
"mylor
bank",PET,"mylor
bank_PET_1",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PET,"mylor
bank_PET_2",culturable,2.37,3.37,0.5276299008713387,(a)~LB~medium
"mylor
bank",PET,"mylor
bank_PET_2",coliform,0,1,0,(b)~coliform
"mylor
bank",PET,"mylor
bank_PET_2",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PET,"mylor
bank_PET_3",culturable,45.12,46.12,1.6638892986226614,(a)~LB~medium
"mylor
bank",PET,"mylor
bank_PET_3",coliform,0,1,0,(b)~coliform
"mylor
bank",PET,"mylor
bank_PET_3",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PET,"mylor
bank_PET_4",culturable,47.5,48.5,1.6857417386022637,(a)~LB~medium
"mylor
bank",PET,"mylor
bank_PET_4",coliform,0,1,0,(b)~coliform
"mylor
bank",PET,"mylor
bank_PET_4",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PET,"mylor
bank_PET_5",culturable,21.37,22.37,1.3496659840966296,(a)~LB~medium
"mylor
bank",PET,"mylor
bank_PET_5",coliform,0,1,0,(b)~coliform
"mylor
bank",PET,"mylor
bank_PET_5",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PET,"mylor
bank_PET_6",culturable,19,20,1.3010299956639813,(a)~LB~medium
"mylor
bank",PET,"mylor
bank_PET_6",coliform,0,1,0,(b)~coliform
"mylor
bank",PET,"mylor
bank_PET_6",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PVC,"mylor
bank_PVC_1",culturable,14.25,15.25,1.1832698436828046,(a)~LB~medium
"mylor
bank",PVC,"mylor
bank_PVC_1",coliform,0,1,0,(b)~coliform
"mylor
bank",PVC,"mylor
bank_PVC_1",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PVC,"mylor
bank_PVC_2",culturable,26.12,27.12,1.4332896851950259,(a)~LB~medium
"mylor
bank",PVC,"mylor
bank_PVC_2",coliform,0,1,0,(b)~coliform
"mylor
bank",PVC,"mylor
bank_PVC_2",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PVC,"mylor
bank_PVC_3",culturable,35.62,36.62,1.5637183399656776,(a)~LB~medium
"mylor
bank",PVC,"mylor
bank_PVC_3",coliform,2.37,3.37,0.5276299008713387,(b)~coliform
"mylor
bank",PVC,"mylor
bank_PVC_3",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PVC,"mylor
bank_PVC_4",culturable,14.25,15.25,1.1832698436828046,(a)~LB~medium
